,train_RMSE,train_MAE,train_R2,train_MAPE_%,train_Gini,train_KS,test_RMSE,test_MAE,test_R2,test_MAPE_%,test_Gini,test_KS
GLM,4993.95,3231.58,0.2985,45.62,0.2145,0.4252,4963.72,3226.48,0.2875,44.81,0.2095,0.4115
LightGBM,4635.37,2955.99,0.3956,40.36,0.244,0.4925,4794.88,3100.53,0.3351,42.48,0.2244,0.446
